legacy_category,item_name,reason
"RYOKO Reel","BORKA Part Diagrams","diagram"
"RYOKO Reel","Service/Diagrams Reel.","diagram"
"RYOKO Product","RYOKO Hurricane 681","duplicate"
"RYOKO Product","RYOKO HURRICANE SPINPOP 832","duplicate"
"RYOKO Product","Blank Baygame TEST RYOKO","blank-test"
"RYOKO Product","RYOKO Baygame 2012","duplicate"
"RYOKO Product","RYOKO Tomcat","duplicate"
"Ballista Products","Ballista Teracore TCES 832/862","duplicate"
"Ballista Products","Ballista Teracore TCS 902/962/1002","duplicate"
"Ballista Products","BALLISTA Blank TEST 2010","blank-test"
"Fluorocarbon-Nylon","รวมสายเอ็นคุณภาพ++","catch-all"
"Lures _ Jig lures","เหยื่อปลอมรุ่นอื่นๆ Lures","catch-all"
"Accessories Etc","BlueBlue","catch-all"
"Accessories Etc","Atisen","catch-all"
